\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000027_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1770     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:03:23 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454081.658514 14.30644 0.00949 
 2454081.663037 14.29501 0.00944 
 2454082.580708 14.32033 0.01066 
 2454082.595951 14.32913 0.01393 
 2454082.601323 14.31356 0.01017 
 2454082.603432 14.31254 0.01010 
 2454082.607947 14.31990 0.01012 
 2454082.616975 14.32326 0.01050 
 2454082.639545 14.32277 0.01266 
 2454082.644059 14.33733 0.01102 
 2454082.653086 14.30701 0.00966 
 2454082.657601 14.30513 0.01069 
 2454082.662115 14.32907 0.01069 
 2454083.586072 14.32196 0.01087 
 2454083.591437 14.31420 0.01087 
 2454083.596800 14.31222 0.01088 
 2454083.602167 14.32242 0.01083 
 2454083.604270 14.32614 0.01080 
 2454083.613299 14.30874 0.01031 
 2454083.617814 14.32457 0.01056 
 2454083.626842 14.30265 0.01071 
 2454083.635870 14.30007 0.01049 
 2454083.640384 14.31700 0.01032 
 2454083.644898 14.30768 0.01019 
 2454083.649412 14.30678 0.01042 
 2454083.653926 14.31742 0.01039 
 2454093.581229 14.31893 0.01075 
 2454093.585959 14.31854 0.01097 
 2454093.590688 14.31146 0.01074 
 2454093.595418 14.29066 0.01059 
 2454093.600146 14.31002 0.01039 
 2454093.604873 14.31958 0.01061 
 2454093.609602 14.31833 0.01091 
 2454093.614332 14.32663 0.00977 
 2454093.619059 14.32078 0.01057 
 2454093.623785 14.30805 0.00990 
 2454093.628516 14.30976 0.01027 
 2454093.633243 14.31213 0.01019 
 2454107.587528 14.31730 0.00922 
 2454107.592258 14.31470 0.00907 
 2454108.588224 14.32410 0.00891 
 2454362.811812 14.32786 0.01036 
 2454362.822059 14.32040 0.01034 
 2454362.827601 14.32940 0.01028 
 2454362.833143 14.32900 0.00974 
 2454362.835339 14.31614 0.00974 
 2454362.840036 14.31406 0.01010 
 2454362.844725 14.30996 0.00985 
 2454362.849430 14.31108 0.00956 
 2454362.854127 14.31923 0.00993 
 2454362.858823 14.32389 0.00956 
 2454362.863510 14.31358 0.00975 
 2454362.868216 14.31873 0.00931 
 2454362.872913 14.31934 0.00937 
 2454362.877610 14.31589 0.00945 
 2454362.882298 14.31928 0.00930 
 2454362.887004 14.31641 0.00918 
 2454362.891700 14.31881 0.00906 
 2454362.896397 14.29901 0.00929 
 2454363.802049 14.31794 0.00974 
 2454363.806757 14.31777 0.00954 
 2454363.811465 14.30424 0.00966 
 2454363.817020 14.32819 0.00949 
 2454363.822575 14.30422 0.00929 
 2454363.828129 14.31462 0.00870 
 2454363.833682 14.31939 0.00892 
 2454363.835883 14.30722 0.00899 
 2454363.840589 14.31062 0.00918 
 2454363.845296 14.30679 0.00902 
 2454363.850002 14.32233 0.00942 
 2454363.854707 14.31859 0.00915 
 2454363.859413 14.32140 0.00938 
 2454363.864119 14.32604 0.00859 
 2454363.868825 14.30207 0.00914 
 2454363.873532 14.32360 0.00904 
 2454363.878238 14.32101 0.00923 
 2454363.882944 14.30861 0.00862 
 2454363.887652 14.32142 0.00874 
 2454363.892358 14.31514 0.00880 
 2454378.770400 14.28968 0.00846 
 2454378.792593 14.32397 0.01070 
 2454378.804192 14.32779 0.00848 
 2454378.818299 14.30595 0.01002 
 2454378.823001 14.33482 0.01470 
 2454379.801083 14.31826 0.00810 
 2454380.761807 14.30980 0.01101 
 2454380.766514 14.32958 0.01033 
 2454380.772070 14.32678 0.00990 
 2454381.774033 14.30662 0.00992 
 2454381.779582 14.31766 0.00957 
 2454381.781780 14.32481 0.00970 
 2454381.786482 14.33002 0.00982 
 2454381.791186 14.31307 0.00979 
 2454381.795882 14.32342 0.00953 
 2454381.800593 14.30991 0.00958 
 2454381.805296 14.31025 0.00948 
 2454381.809999 14.31532 0.00913 
 2454381.814698 14.30063 0.00875 
 2454381.819406 14.30729 0.00856 
 2454381.824111 14.30796 0.00896 
 2454381.828812 14.31942 0.00815 
 2454381.833516 14.30967 0.00863 
 2454381.838216 14.31152 0.00830 
 2454381.842917 14.30360 0.00874 
 2454382.746250 14.31575 0.00982 
 2454382.750956 14.31078 0.00992 
 2454382.755662 14.30565 0.01003 
 2454382.760369 14.31519 0.00976 
 2454382.765923 14.32809 0.00968 
 2454382.771476 14.31823 0.00983 
 2454382.777030 14.31714 0.00987 
 2454382.779231 14.30762 0.00989 
 2454382.783922 14.32193 0.00964 
 2454382.788644 14.30497 0.00954 
 2454382.793352 14.31908 0.00956 
 2454382.798060 14.31967 0.00945 
 2454382.802760 14.30391 0.00940 
 2454382.807473 14.31126 0.00919 
 2454382.812182 14.30916 0.00966 
 2454382.816886 14.32046 0.00921 
 2454382.821589 14.32281 0.00955 
 2454382.826288 14.30059 0.00903 
 2454382.831003 14.30822 0.00906 
 2454382.835710 14.30972 0.00940 
 2454382.840417 14.33759 0.00929 
 2454384.745157 14.31216 0.00970 
 2454384.749865 14.31046 0.00991 
 2454384.754571 14.31132 0.00955 
 2454384.760120 14.31998 0.00945 
