\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_003635_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 600      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:04:06 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454787.883956 15.00558 0.02187 
 2454787.888496 15.00707 0.02208 
 2454787.893043 15.01735 0.02177 
 2454787.897576 15.00788 0.02161 
 2454787.902121 15.01517 0.02168 
 2454787.906661 15.01215 0.02253 
 2454787.911205 14.98740 0.02325 
 2454787.915743 15.02532 0.02424 
 2454788.755449 15.00069 0.01768 
 2454788.765250 15.01081 0.01808 
 2454788.775055 14.99597 0.01795 
 2454788.794654 14.99872 0.01779 
 2454788.808996 14.99819 0.01976 
 2454788.813538 15.01925 0.02036 
 2454788.818070 15.01745 0.01934 
 2454788.822608 15.04299 0.02013 
 2454788.827150 15.00290 0.02049 
 2454788.836222 15.01841 0.01863 
 2454788.840762 14.99860 0.01817 
 2454788.845304 15.02118 0.01773 
 2454788.849853 14.97686 0.01837 
 2454788.854385 15.00646 0.01997 
 2454788.858931 15.01862 0.01982 
 2454788.863468 14.98518 0.01936 
 2454788.868010 15.01669 0.01853 
 2454788.872553 14.99961 0.01832 
 2454788.877099 14.99887 0.01808 
 2454788.881637 15.00117 0.01939 
 2454788.886181 15.01788 0.01968 
 2454788.890723 14.99332 0.01967 
 2454788.895264 15.02840 0.01939 
 2454788.899818 15.00401 0.01949 
 2454788.904360 15.00891 0.01981 
 2454788.908895 14.99963 0.01957 
 2454788.913430 14.99301 0.01977 
 2454789.754110 14.99774 0.01372 
 2454789.766079 15.02159 0.01525 
 2454789.778041 15.00625 0.01639 
 2454789.789988 15.00126 0.01616 
 2454789.801956 15.01997 0.01638 
 2454789.809373 15.02906 0.01711 
 2454789.831644 15.00349 0.01924 
 2454789.846950 15.01830 0.01859 
 2454789.854585 14.98493 0.01865 
 2454789.862234 15.02280 0.02054 
 2454789.869881 15.05091 0.01904 
 2454789.877527 14.96883 0.01937 
 2454789.882064 15.03264 0.01900 
 2454789.886602 14.99197 0.01850 
 2454789.891142 15.00045 0.01830 
 2454789.895680 14.99542 0.01915 
 2454789.900219 15.00551 0.01932 
 2454789.904765 15.00852 0.01940 
 2454789.911685 15.00976 0.01894 
 2454790.750743 14.99386 0.01460 
 2454790.762704 15.01273 0.01727 
 2454790.798579 15.00866 0.01741 
 2454790.835882 15.02734 0.01641 
 2454790.858813 15.00576 0.01873 
 2454790.866473 15.00709 0.01788 
 2454790.874105 14.99825 0.01724 
 2454790.878635 15.00786 0.01712 
 2454790.883177 15.03070 0.01645 
 2454790.887715 15.01535 0.01586 
 2454790.892253 15.01711 0.01613 
 2454790.896789 15.01700 0.01820 
 2454790.901313 15.02275 0.01715 
 2454790.908235 15.01532 0.01715 
 2454791.749116 15.01390 0.01474 
 2454791.761086 15.00466 0.01493 
 2454791.773037 15.01563 0.01515 
 2454791.784978 15.00949 0.01537 
 2454791.828055 15.00236 0.01734 
 2454791.847657 15.00281 0.01581 
 2454791.874688 15.00854 0.01715 
 2454791.882096 15.01812 0.01816 
 2454791.889512 14.98700 0.02131 
 2454791.896929 15.00922 0.01844 
 2454791.904346 14.99518 0.01826 
 2454792.757885 14.99942 0.01674 
 2454792.769829 15.02814 0.01291 
 2454792.781785 15.01156 0.01500 
 2454792.875863 14.99533 0.02033 
 2454792.885475 15.00691 0.01872 
 2454792.904719 15.02123 0.01480 
 2454793.777071 14.98872 0.01502 
 2454794.740211 15.00816 0.01407 
 2454794.752176 15.01254 0.01603 
 2454794.764138 15.01429 0.01590 
 2454794.776090 15.00105 0.01517 
 2454794.790295 15.01116 0.01420 
 2454794.809543 15.03980 0.01673 
 2454794.828960 15.01155 0.01522 
 2454794.838759 14.99677 0.01524 
 2454794.860584 15.00796 0.01905 
 2454794.870191 15.00862 0.01461 
 2454794.889436 14.99219 0.01642 
 2454794.899059 15.01890 0.01468 
